jumptypes: normal ideal from_source my smart
weighted:

real_cycle: 8343074986 8124502793 8506214649 8124502793 8293164213 
row_cycles: 7638674262 7577763720 7717997878 7577763720 7623104856 
evil_row_cycles: 597251806 389221614 695823890 389221614 550241272 
col_cycles: 18951436628 990514548 87914414354 990514548 10704998672 
dispatching: 827505829 827505829 827505829 827505829 827505829 

real_cycle: 8878480534 8042854792 9019986014 8042854792 8560217270 
row_cycles: 7494004780 7177521670 7430461624 7177521670 7311109634 
evil_row_cycles: 1384475614 865332352 1589524390 865332352 1249107260 
col_cycles: 35762514904 2573862804 90820437572 2573862804 23045272124 
dispatching: 287260172 287260172 287260172 287260172 287260172 

real_cycle: 3484278794 631929210 4494824631 631929210 2795579217 
row_cycles: 3483240528 631904598 4493525436 631904598 2794822518 
evil_row_cycles: 1038190 22822 1299194 22822 756622 
col_cycles: 3851270818 428915124 8406541730 428915124 3091260150 
dispatching: 66503146 66503146 66503146 66503146 66503146 

real_cycle: 25194884 9082801 25217708 9082801 20779318 
row_cycles: 25186040 9051948 25198566 9051948 20770760 
evil_row_cycles: 8844 400 18056 400 6532 
col_cycles: 2262736 0 21198996 0 1988156 
dispatching: 2855922 2855922 2855922 2855922 2855922 

real_cycle: 4083413 4082661 4083441 4082661 4083041 
row_cycles: 4082632 4082632 4082632 4082632 4082632 
evil_row_cycles: 752 0 780 0 380 
col_cycles: 0 0 0 0 0 
dispatching: 511836 511836 511836 511836 511836 

real_cycle: 44693754 30302591 34786164 30302591 32896631 
row_cycles: 44639358 30297990 34705500 30297990 32856066 
evil_row_cycles: 54396 4328 80664 4328 40516 
col_cycles: 4184680 0 46572924 0 3220148 
dispatching: 3968263 3968263 3968263 3968263 3968263 

real_cycle: 289761196 51489089 344988687 51489089 223054635 
row_cycles: 289740486 51483084 344958274 51483084 223041184 
evil_row_cycles: 20664 112 30404 112 13396 
col_cycles: 291035236 30009114 672821404 30009114 220519386 
dispatching: 7616961 7616961 7616961 7616961 7616961 

real_cycle: 33384452 11425839 36180560 11425839 28800328 
row_cycles: 33294314 11422258 36055660 11422258 28738474 
evil_row_cycles: 90128 3048 124900 3048 61844 
col_cycles: 4768588 0 33615952 0 3674160 
dispatching: 2778767 2778767 2778767 2778767 2778767 

real_cycle: 44802690 30299639 34669890 30299639 32873169 
row_cycles: 44742398 30294488 34584318 30294488 32828120 
evil_row_cycles: 60292 5000 85572 5000 45044 
col_cycles: 4234688 0 46621848 0 3221556 
dispatching: 3937738 3937738 3937738 3937738 3937738 

real_cycle: 27446922 9383074 32536416 9383074 21123828 
row_cycles: 27122278 9359710 32059996 9359710 20885264 
evil_row_cycles: 324640 22480 476420 22480 238560 
col_cycles: 5022652 0 24522496 0 4134312 
dispatching: 1350186 1350186 1350186 1350186 1350186 

real_cycle: 69278044 15374716 83805906 15374716 54397584 
row_cycles: 69243544 15351872 83708054 15351872 54372504 
evil_row_cycles: 34500 2660 97852 2660 25080 
col_cycles: 30370352 0 124319768 0 22436872 
dispatching: 4439746 4439746 4439746 4439746 4439746 

real_cycle: 38656342 23433107 42143805 23433107 32093176 
row_cycles: 38611600 23333382 42063490 23333382 32047420 
evil_row_cycles: 39076 14716 80156 14716 30876 
col_cycles: 46059960 0 54009736 0 23309724 
dispatching: 9514215 9514215 9514215 9514215 9514215 

real_cycle: 33832964 32973857 33904208 32973857 33513863 
row_cycles: 32196832 31972612 32180830 31972612 32162990 
evil_row_cycles: 841108 107704 1034936 107704 519172 
col_cycles: 1346904 0 1506796 0 796528 
dispatching: 1294798 1294798 1294798 1294798 1294798 

real_cycle: 70256500 25327208 78277758 25327208 62633840 
row_cycles: 70187376 25320350 78153914 25320350 62582930 
evil_row_cycles: 69124 712 123844 712 50796 
col_cycles: 16936632 0 160816412 0 14831660 
dispatching: 6240900 6240900 6240900 6240900 6240900 
samebank:

real_cycle: 35768000172 35687193635 35833964717 35687193635 35746134252 
row_cycles: 14372062614 14176149720 14494906980 14176149720 14319031850 
evil_row_cycles: 677165080 529918042 869850758 529918042 633971698 
col_cycles: 29356842072 1369359162 151973554986 1369359162 16901760484 
dispatching: 22646515299 22646515299 22646515299 22646515299 22646515299 

real_cycle: 10342241952 9693141598 10682556211 9693141598 10149725219 
row_cycles: 8101533226 7811816450 8318830136 7811816450 8024318540 
evil_row_cycles: 1501318810 988456494 1681569438 988456494 1347256898 
col_cycles: 29744244532 2381364954 82528043750 2381364954 19520315140 
dispatching: 2879407869 2879407869 2879407869 2879407869 2879407869 

real_cycle: 3373522799 573078184 4548719685 573078184 2572359202 
row_cycles: 3371883026 573016296 4546606630 573016296 2571166594 
evil_row_cycles: 1639770 35140 2113054 35140 1192604 
col_cycles: 3600175126 352653534 8308726726 352653534 2540329144 
dispatching: 91168266 91168266 91168266 91168266 91168266 

real_cycle: 31634182 13558667 33877247 13558667 26388579 
row_cycles: 31619742 12142594 33852248 12142594 26349568 
evil_row_cycles: 11608 2828 20888 2828 8636 
col_cycles: 10602968 0 25505668 0 7042772 
dispatching: 9358912 9358912 9358912 9358912 9358912 

real_cycle: 4090768 4090084 4090920 4090084 4090428 
row_cycles: 4082044 4082044 4082044 4082044 4082044 
evil_row_cycles: 684 0 840 0 344 
col_cycles: 0 0 0 0 0 
dispatching: 792350 792350 792350 792350 792350 

real_cycle: 47484342 32371771 51330038 32371771 41842285 
row_cycles: 47422516 32069472 51224842 32069472 41749090 
evil_row_cycles: 39944 23372 83668 23372 34072 
col_cycles: 29453296 0 48040288 0 16370516 
dispatching: 12596834 12596834 12596834 12596834 12596834 

real_cycle: 270959355 46396642 365829124 46396642 197313307 
row_cycles: 270924142 46356708 365780762 46356708 197287676 
evil_row_cycles: 35212 4620 48360 4620 25628 
col_cycles: 264830422 22114872 739006752 22114872 183468622 
dispatching: 12351197 12351197 12351197 12351197 12351197 

real_cycle: 45126242 17263493 49387670 17263493 36419614 
row_cycles: 45020690 17027264 49224308 17027264 36344186 
evil_row_cycles: 105468 4916 163352 4916 74672 
col_cycles: 13970836 0 37141016 0 9506436 
dispatching: 5804706 5804706 5804706 5804706 5804706 

real_cycle: 47485488 32372783 51331141 32372783 41843279 
row_cycles: 47423660 32070502 51225940 32070502 41750074 
evil_row_cycles: 39944 23372 83668 23372 34072 
col_cycles: 29453800 0 48042332 0 16370832 
dispatching: 12597238 12597238 12597238 12597238 12597238 

real_cycle: 27039359 9745635 35037008 9745635 19746942 
row_cycles: 26757824 9616172 34514944 9616172 19518222 
evil_row_cycles: 281184 105512 521932 105512 227208 
col_cycles: 9206880 0 23599520 0 5430324 
dispatching: 2722795 2722795 2722795 2722795 2722795 

real_cycle: 71826612 15863173 85925020 15863173 56104734 
row_cycles: 71745242 15828198 85755076 15828198 56044378 
evil_row_cycles: 81370 13556 169944 13556 60356 
col_cycles: 30574580 0 122786884 0 22621100 
dispatching: 4794325 4794325 4794325 4794325 4794325 

real_cycle: 40773354 27310201 44325122 27310201 35503750 
row_cycles: 40667722 26482476 44212118 26482476 35308354 
evil_row_cycles: 34436 14492 77604 14492 27420 
col_cycles: 36486384 0 56471752 0 18740260 
dispatching: 12323584 12323584 12323584 12323584 12323584 

real_cycle: 33413400 32584070 35764862 32584070 33099170 
row_cycles: 32626938 32218672 34153368 32218672 32449132 
evil_row_cycles: 623472 125000 1477436 125000 456544 
col_cycles: 1608436 0 2158612 0 887228 
dispatching: 2618570 2618570 2618570 2618570 2618570 

real_cycle: 82528505 33763307 93527143 33763307 71399573 
row_cycles: 82493846 32110328 93410236 32110328 71362836 
evil_row_cycles: 33376 10664 116612 10664 28124 
col_cycles: 60712044 0 177157704 0 40978740 
dispatching: 20009664 20009664 20009664 20009664 20009664 
